
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,1,

FE2,FE3,BR,HBRO,FE2RATE,FE3RATE,BRRATE,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,

0.64711,2.32287,7.06021,0,0,0,0,
0.64711,2.32287,7.06046,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
0.64711,2.32287,7.06071,0,0,0,0,
